id,product_id,website_id,normalized_leaf_category_id,department_name,iksula_category_identifier,product_url,product_title,model_number,manufacturing_brand
1311275,48171894,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09KQBQLZQ,Multifunctional Air Compressor,,Generic
1310580,43184194,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B06Y3W2676,"Beverage Air 312-071B Compressor, 115V, 60 Hz, R134A 240",312-071B,Beverage Air
1310903,46036109,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08NK54DG2,Vbestlife Air Compressor Spray Gun， Airbrush， Mini Air Compressor for Tattoo for Cake,,Vbestlife
1311137,47687124,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08FXSQTCB,Ryobi P737D 18-Volt ONE+ Cordless High Pressure Inflator with Digital Gauge & 18-Volt ONE+ Lithium-Ion 1.5 Ah LITHIUM+ Compact Battery (Bulk Packaged),,RYOBI
1311979,52530864,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08P5KFNRD,"2Pcs Air Compressor Cylinder Head Small 2.5/3P Aluminum Cooling Parts 48mm x 62mm, Pneumatic Driving, with 2 Cylinder Heads",,Fafeicy
1311921,51483099,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09HBQGG1F,"TBVECHI High Pressure Air Compressor Pump, 300BAR 4500PSI Electric Air Pump Airgun Scuba Rifle PCP 110V",,TBVECHI
1311849,51144800,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08D9GZ2MY,"Air pump XMYYHH Electric Bike Pump,Air Compressor,Portable Compressor Digital Car Tyre Pump,Rechargeable with LCD Display,for Car Bicycle Tires Balls Kayaking (Color : Black)",,Air pump
1310134,21249603,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08Z36Z774,"Modengzhe Portable Car Tire Inflator with Presure Gauge, DC 12V Car Cigarette Lighter Powered Mini Air Compressor Pump for Vehicles Motorcycles Bicycles Mopeds Inflatable Boats or Balls",YKS-SMY210107,Modengzhe
1311105,47509570,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B091FV4JDT,"Flexzilla Portable Air Compressor with Quiet Technology, 1 HP, 5 Gallon, Industrial Grade Pump",‎CF10050F,Flexzilla
1309307,14330124,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Campbell-Hausfeld-Campbell-Hausfeld-2-Gal-Twin-Stack-Air-Compressor-Kit/378285984,Campbell Hausfeld Campbell Hausfeld 2 Gal. Twin-Stack Air Compressor Kit,DC020010DI,Campbell Hausfeld
